cluster,frequency,monetary,recency
1,23,"393.1",10
2,82,"1505.55",7
4,6,"119.4",1
1,11,"1717.6",11
1,2,"409.0",11
2,41,"2380.3",11
1,63,"722.02",10
1,41,"615.45",11
1,52,"135.33",10
1,12,"256.4",10
4,16,"113.23",6
2,139,"2332.65",10
1,3,"240.8",10
1,20,"486.6",11
1,58,"937.8",11
4,25,"181.39",5
3,194,"3673.0",10
1,39,"642.2",11
1,28,"495.5",10
4,31,"573.55",2
2,58,"1176.5",10
1,12,"205.5",9
4,19,"310.4",3
1,1,"52.0",8
4,24,"328.8",5
1,37,"568.4",10
4,1,"165.0",1
4,16,"205.8",3
1,36,"267.59",10
3,95,"2746.4",9
1,42,"679.5",9
1,49,"162.87",8
4,29,"313.4",1
1,10,"209.05",10
2,57,"1049.75",10
1,13,"716.0",11
4,16,"1028.85",5
2,99,"352.45",7
1,36,"174.0",10
2,86,"573.85",10
2,17,"2021.0",9
1,24,"405.45",8
1,21,"364.5",9
1,20,"393.65",10
4,17,"252.9",1
1,9,"158.8",9
1,72,"473.52",7
1,14,"277.1",11
1,13,"427.5",10
1,29,"912.1",9
2,114,"2316.35",11
2,95,"1877.1",10
1,4,"447.5",11
2,94,"2386.55",10
2,27,"2004.9",7
1,3,"168.0",8
2,117,"1232.66",10
4,8,"596.9",5
0,302,"5951.95",11
1,12,"316.9",10
4,31,"393.2",6
4,1,"500.0",6
1,12,"230.3",11
4,7,"107.6",1
1,14,"287.9",8
4,6,"94.1",2
2,73,"1345.2",11
1,12,"715.4",9
1,42,"627.36",7
4,8,"349.4",6
1,53,"510.89",11
2,153,"1056.77",11
4,34,"267.0",3
3,122,"3451.25",9
2,99,"1359.09",11
4,10,"190.25",6
1,39,"773.9",11
4,48,"572.16",1
3,192,"3989.1",10
1,28,"508.6",9
1,8,"136.1",11
1,53,"950.0",10
4,6,"97.5",1
1,2,"43.5",11
4,17,"382.9",3
0,306,"1484.71",11
1,6,"93.9",11
1,82,"397.39",11
1,10,"171.8",11
4,41,"531.0",5
1,29,"149.36",11
0,329,"1122.96",11
4,45,"200.21",3
1,25,"156.65",7
1,62,"384.22",10
4,2,"594.0",4
2,219,"1418.24",11
4,5,"113.1",3
4,9,"154.6",1
4,28,"494.7",1
2,60,"973.0",11
1,30,"428.0",11
1,58,"538.57",11
4,58,"237.11",3
1,7,"162.0",11
1,11,"234.6",9
1,7,"125.9",11
4,157,"1049.26",1
1,57,"334.55",9
1,52,"524.92",11
1,24,"466.6",10
1,24,"538.3",10
1,76,"371.7",8
1,11,"1771.0",11
1,29,"453.8",9
2,46,"1441.62",10
1,88,"233.24",7
1,2,"91.3",9
1,50,"1134.15",11
3,154,"3095.88",9
1,35,"659.8",11
0,297,"2002.15",11
2,125,"1298.83",11
1,15,"1262.2",11
1,13,"52.9",9
3,97,"3613.1",10
2,164,"980.32",11
4,46,"493.71",6
2,92,"1000.18",6
4,1,"250.0",1
2,160,"909.34",11
1,15,"62.43",10
4,27,"266.75",4
2,214,"1940.38",10
3,185,"3009.58",10
1,57,"401.36",11
1,10,"412.56",9
1,1,"440.0",11
1,4,"148.0",11
4,26,"229.87",3
2,108,"1503.15",11
2,83,"807.88",11
4,75,"536.4",6
4,24,"110.92",6
1,15,"213.3",11
1,29,"85.13",8
4,28,"127.9",2
2,115,"1695.34",9
1,29,"436.15",11
4,17,"90.15",5
1,56,"437.57",10
4,14,"216.8",3
1,31,"279.73",11
1,20,"473.73",11
1,27,"801.05",11
1,8,"172.8",10
1,7,"186.05",11
1,31,"1375.95",8
1,57,"651.16",11
2,104,"607.77",11
1,45,"940.42",11
1,39,"258.95",7
4,13,"127.1",6
1,51,"348.64",10
1,44,"684.0",11
2,123,"725.38",11
4,31,"456.2",6
4,29,"479.5",3
1,24,"388.9",10
1,5,"199.6",9
2,103,"1773.8",11
1,22,"325.2",11
1,14,"240.4",10
1,52,"762.15",11
1,2,"49.0",9
1,17,"216.2",10
3,77,"2920.6",10
4,13,"104.6",1
2,60,"1091.2",11
4,16,"298.6",6
1,6,"112.4",10
2,43,"1592.4",11
1,6,"195.3",11
1,45,"776.001",11
1,3,"336.4",11
3,185,"3707.75",10
1,19,"300.6",7
1,34,"588.75",8
2,64,"1531.9",8
1,49,"674.3",9
2,60,"1184.55",10
3,167,"3290.7",11
1,15,"243.8",11
1,25,"723.8",9
1,15,"223.3",10
1,25,"427.3",7
4,33,"665.05",6
2,238,"813.39",6
1,52,"612.29",11
4,25,"657.1",5
1,32,"647.7",11
1,21,"337.85",9
1,6,"877.4",9
1,21,"922.4",11
4,34,"559.5",4
1,47,"749.1",10
1,1,"30.0",11
1,11,"306.9",10
4,5,"309.8",1
1,9,"138.1",8
1,17,"386.2",10
2,116,"2238.42",6
1,13,"301.6",10
4,1,"76.3",5
1,33,"684.7",10
4,12,"172.5",2
3,78,"2655.1",11
3,155,"2880.59",9
3,114,"2446.51",9
1,21,"323.75",9
3,202,"3435.7",11
1,33,"656.3",10
1,12,"352.1",10
2,110,"781.72",11
2,53,"1425.2",11
1,10,"193.8",8
4,2,"136.8",4
1,12,"190.9",11
4,22,"410.25",3
3,171,"2737.36",11
1,18,"309.35",11
4,86,"697.6",6
4,5,"211.4",3
2,117,"2294.43",7
4,6,"143.1",5
1,55,"1060.6",10
2,214,"947.26",11
4,6,"132.9",3
2,53,"1074.0",11
1,35,"331.08",11
4,7,"149.5",4
2,128,"599.3",11
2,91,"507.12",11
2,69,"2222.1",11
4,11,"219.3",5
1,32,"415.15",11
4,5,"85.0",5
2,70,"1123.05",10
4,10,"162.3",3
1,26,"1341.3",8
2,72,"1205.45",11
1,8,"449.6",10
1,9,"154.8",10
2,88,"784.85",11
1,3,"35.0",9
2,62,"1095.55",11
1,28,"197.15",7
2,93,"974.01",11
1,21,"149.31",10
4,1,"79.0",2
1,28,"458.4",10
2,141,"2362.9",11
2,192,"533.42",10
1,45,"715.8",10
1,9,"205.3",11
1,37,"583.1",10
2,61,"1086.95",11
3,180,"3285.6",9
1,11,"314.9",10
1,27,"622.8",8
1,25,"270.8",10
4,7,"104.7",4
1,18,"241.45",7
1,20,"345.35",11
3,43,"2614.8",11
1,14,"246.0",11
2,83,"2326.6",11
0,267,"4932.05",10
2,206,"949.36",11
1,35,"220.59",11
2,75,"1611.95",10
1,12,"965.75",11
1,42,"613.05",7
1,8,"2207.0",8
2,98,"885.1",9
2,119,"699.32",8
2,64,"1063.5",10
1,1,"451.42",7
1,8,"415.8",10
1,31,"785.7",10
1,48,"903.2",10
1,35,"516.85",11
2,89,"1392.84",9
2,41,"1804.0",8
4,40,"1307.25",5
2,72,"1943.35",11
2,49,"2101.8",10
2,123,"1906.7",10
4,17,"207.05",1
1,62,"571.75",10
4,20,"533.0",6
2,68,"1653.0",10
1,51,"635.1",9
1,39,"577.5",11
2,68,"801.5",10
4,54,"836.4",3
0,273,"2233.92",9
1,50,"955.0",10
1,10,"137.4",10
1,24,"391.95",10
2,62,"1047.6",11
1,27,"355.7",10
1,47,"1224.0",9
4,8,"119.45",2
1,11,"129.2",10
3,138,"3709.6",11
1,22,"388.25",11
2,97,"239.2",11
4,22,"160.71",6
1,30,"111.64",10
1,80,"712.5",7
1,14,"294.6",11
1,18,"68.84",11
2,20,"1938.1",11
1,40,"895.65",10
1,45,"231.54",8
4,15,"149.5",3
1,76,"356.04",11
2,128,"360.88",11
3,120,"4407.65",10
1,18,"379.6",9
1,12,"181.1",10
1,12,"168.32",9
4,62,"523.71",4
1,11,"178.85",7
4,24,"222.71",5
1,51,"351.54",11
2,116,"363.95",11
3,74,"5127.4",11
2,150,"1569.0",11
4,7,"191.9",6
4,19,"265.69",6
4,12,"122.7",4
4,40,"334.21",6
1,60,"167.51",7
4,25,"335.93",6
4,12,"206.55",5
1,21,"426.9",10
2,74,"1106.55",11
4,12,"416.62",4
1,7,"145.8",10
1,18,"404.6",8
3,76,"6110.4",9
4,1,"35.8",2
1,14,"337.4",7
4,6,"325.1",3
1,29,"1709.2",9
1,19,"363.8",11
2,91,"808.89",11
1,42,"428.9",11
1,7,"104.5",9
1,28,"470.9",11
2,84,"418.96",11
4,11,"314.5",2
3,35,"4203.05",11
3,176,"3441.5",10
1,24,"370.7",9
4,98,"430.72",6
2,65,"1056.6",11
1,49,"1098.2",9
2,43,"2400.2",9
3,97,"3407.1",11
1,37,"1144.2",8
1,14,"167.5",11
1,27,"157.84",11
1,52,"792.45",10
1,35,"427.3",10
2,218,"615.66",11
4,8,"101.26",5
0,385,"1703.76",10
1,33,"479.6",11
2,90,"993.09",11
2,94,"1417.66",11
2,145,"663.56",11
1,32,"211.88",10
1,28,"409.75",10
1,46,"850.3",11
4,76,"629.05",3
2,101,"721.91",10
1,64,"251.19",11
1,28,"438.7",11
1,32,"236.4",10
1,16,"932.95",9
4,29,"331.75",2
2,100,"550.52",9
4,22,"437.9",5
1,55,"758.7",9
2,65,"1313.75",10
3,6,"3167.4",11
2,71,"1196.6",11
1,39,"776.35",11
2,83,"1344.2",8
0,312,"1113.68",10
4,10,"138.2",6
1,34,"362.95",10
2,84,"1510.25",11
1,70,"783.35",7
4,8,"134.9",5
1,68,"664.47",10
2,121,"2264.15",11
4,23,"335.7",3
2,102,"1521.72",11
1,33,"852.0",11
1,21,"326.45",10
4,23,"584.75",2
4,1,"122.0",2
4,1,"79.2",3
1,21,"1352.4",11
1,10,"217.0",9
4,38,"436.15",2
2,167,"982.45",11
1,18,"314.6",7
1,51,"816.7",8
1,1,"17.0",8
2,63,"1076.7",11
4,12,"320.3",3
4,10,"185.05",4
1,39,"734.3",10
2,76,"1292.7",9
2,57,"1840.5",10
1,29,"302.96",10
4,13,"339.0",4
1,6,"108.1",10
3,31,"3207.2",11
1,48,"841.1",9
4,18,"611.0",5
0,354,"1338.36",10
1,16,"196.1",7
4,30,"161.4",6
4,8,"136.2",6
0,284,"1669.02",11
4,34,"612.7",5
4,30,"232.35",6
1,30,"1308.8",10
2,212,"869.31",10
1,16,"306.6",10
4,11,"249.0",1
3,117,"6291.0",11
1,40,"656.7",10
2,89,"1877.05",11
3,78,"3506.3",10
4,21,"516.35",3
1,37,"708.7",10
1,31,"634.3",11
1,30,"619.3",9
4,37,"536.9",4
4,1,"175.2",4
1,29,"732.7",7
1,22,"375.8",7
4,1,"76.3",2
4,29,"1829.3",3
1,18,"656.7",11
4,14,"347.4",3
1,20,"1025.8",10
4,2,"37.4",4
1,34,"821.6",11
2,125,"1884.65",10
1,3,"73.2",10
2,69,"1138.4",9
2,84,"1418.5",11
1,23,"1010.05",8
1,58,"1037.3",9
1,15,"332.0",10
1,8,"197.8",7
1,11,"215.95",10
1,11,"305.9",9
3,28,"6617.5",9
1,15,"338.8",10
1,45,"1158.1",10
1,31,"529.05",11
0,295,"6909.9",11
2,67,"983.75",10
1,11,"215.5",11
1,6,"214.85",10
4,19,"313.7",4
1,15,"400.701",9
1,57,"406.02",11
2,98,"761.37",11
1,63,"538.43",10
1,19,"393.96",11
1,66,"665.66",10
2,46,"2262.2",9
1,23,"548.55",9
1,41,"690.65",11
1,6,"159.0",9
4,44,"1062.8",6
1,14,"242.15",9
4,37,"915.55",3
4,15,"304.6",4
4,137,"848.49",1
2,96,"1294.2",10
2,134,"1096.77",10
4,8,"255.2",5
4,6,"314.1",4
1,47,"1010.71",9
4,35,"540.5",6
1,37,"989.6",10
1,46,"867.1",10
1,20,"432.4",9
1,19,"413.8",10
3,135,"3725.9",11
1,51,"409.19",11
2,90,"1410.5",11
4,16,"114.62",6
1,7,"152.7",10
2,69,"1800.5",10
3,123,"3679.5",10
4,13,"751.6",3
4,2,"46.95",6
3,135,"5206.7",10
1,18,"1034.9",10
2,124,"747.21",11
1,61,"860.67",9
1,45,"670.45",9
1,25,"411.7",8
4,33,"559.65",5
4,6,"811.0",6
1,23,"566.35",8
2,107,"1512.36",11
2,17,"2061.5",9
4,11,"168.9",1
2,109,"824.24",11
4,8,"142.3",6
1,17,"301.9",8
2,79,"1327.8",11
4,20,"302.0",3
1,27,"598.9",11
1,11,"233.3",8
3,162,"5360.9",11
1,22,"360.9",7
2,4,"2560.0",11
1,42,"706.2",8
1,37,"616.45",11
4,14,"226.45",1
2,69,"1343.7",8
1,19,"327.3",11
4,3,"405.0",5
4,1,"208.0",5
2,118,"428.66",8
1,18,"594.2",10
1,39,"252.39",11
2,153,"1593.77",11
1,10,"150.3",11
1,11,"215.25",7
4,20,"109.95",2
2,153,"550.06",8
2,77,"1969.9",11
1,15,"322.45",9
1,47,"370.9",11
1,2,"101.1",7
1,38,"576.61",10
2,92,"888.58",11
2,235,"1469.89",11
4,9,"53.5",2
2,57,"1117.1",11
4,8,"153.5",1
1,28,"494.5",11
1,39,"396.36",10
4,31,"212.17",5
1,34,"658.6",11
2,106,"899.24",11
2,81,"735.06",11
1,5,"109.4",10
1,53,"708.35",11
1,18,"330.3",11
2,118,"1551.77",11
2,228,"1322.79",9
2,97,"368.28",11
2,111,"473.22",10
4,5,"676.0",3
4,23,"363.0",4
2,32,"1779.65",10
2,102,"669.11",9
1,33,"584.7",9
2,88,"316.37",11
4,4,"94.4",1
1,34,"1382.75",10
4,45,"221.65",3
2,83,"1549.0",10
2,210,"1496.72",10
2,82,"1706.95",7
1,73,"409.04",11
1,29,"304.35",9
4,10,"177.1",1
1,23,"443.6",9
4,5,"166.85",2
1,62,"163.42",11
2,172,"2126.36",11
0,232,"2031.11",11
1,35,"151.89",10
1,31,"262.0",10
1,7,"126.25",11
1,54,"210.5",10
2,71,"1050.23",11
2,102,"676.29",10
1,51,"972.66",8
1,18,"345.6",11
4,5,"134.0",6
4,21,"303.7",2
4,9,"241.04",3
1,2,"284.55",8
1,6,"301.1",10
4,83,"643.15",5
1,8,"287.3",10
1,17,"184.18",11
2,109,"1523.47",11
1,24,"381.2",10
2,84,"655.55",10
1,63,"230.81",11
1,36,"259.0",7
4,20,"189.35",5
4,40,"707.88",5
1,11,"312.0",7
1,14,"267.5",9
1,2,"6.9",10
4,9,"208.5",5
2,135,"814.14",11
4,33,"151.42",6
1,3,"136.0",9
2,82,"1420.7",11
2,236,"1315.53",11
2,148,"1603.68",11
1,2,"74.9",9
2,182,"650.54",11
4,13,"222.4",3
4,18,"316.85",6
1,28,"542.7",9
1,17,"329.8",11
1,35,"301.1",11
1,53,"771.3",9
1,18,"220.2",11
4,19,"139.4",5
4,25,"404.4",6
1,42,"363.88",9
1,29,"498.4",11
1,39,"733.5",10
2,56,"1350.25",9
4,50,"825.85",2
3,136,"2963.2",10
1,15,"101.09",7
2,86,"484.3",11
1,4,"779.0",11
1,3,"90.3",11
4,13,"363.75",2
2,169,"950.91",11
2,113,"1625.8",10
1,6,"101.7",11
4,17,"162.35",3
1,40,"485.77",10
4,15,"289.9",6
1,14,"228.1",9
4,30,"455.05",6
3,4,"6748.0",11
2,177,"1097.24",11
1,55,"550.99",8
1,5,"119.6",10
4,3,"339.5",6
1,32,"919.3",9
1,52,"836.05",10
1,17,"285.3",11
1,11,"281.85",11
1,19,"1078.5",10
1,18,"613.4",11
4,35,"864.0",5
3,126,"3739.6",11
2,87,"1423.6",11
1,57,"1008.85",8
1,42,"664.65",9
1,28,"447.6",9
4,9,"106.5",6
1,6,"315.1",8
1,28,"935.2",9
4,8,"464.0",4
4,13,"225.0",4
1,33,"457.3",9
1,10,"213.35",10
1,27,"330.25",10
1,53,"181.49",9
1,85,"361.4",10
4,10,"145.2",2
1,31,"244.8",10
1,29,"527.05",11
1,34,"481.6",9
0,276,"5498.6",11
4,6,"74.7",5
4,10,"129.6",6
2,66,"1187.8",11
1,30,"617.8",9
4,26,"507.9",6
1,33,"501.0",11
4,5,"151.45",4
3,96,"2648.95",11
4,14,"226.1",3
1,29,"812.85",10
4,5,"129.45",4
1,48,"811.76",9
4,23,"333.7",3
1,20,"323.0",9
2,117,"2188.3",11
1,64,"417.7",9
3,152,"2884.45",11
2,69,"1156.85",11
2,50,"1257.3",11
1,12,"230.4",8
4,27,"487.4",4
4,62,"837.9",6
4,14,"214.7",6
1,19,"289.8",10
1,24,"517.7",9
3,118,"6773.25",10
2,69,"1213.75",11
0,261,"3793.97",11
2,208,"938.45",11
4,2,"39.0",6
1,16,"1267.1",11
1,32,"121.49",11
1,53,"570.6",10
1,20,"305.8",11
2,160,"1377.25",11
1,6,"1692.8",11
2,98,"320.04",10
2,89,"1591.1",11
1,10,"183.7",10
2,44,"1770.2",9
1,62,"323.55",10
1,13,"422.1",9
1,12,"225.55",9
4,3,"1276.5",3
1,60,"482.66",10
1,10,"658.5",7
4,21,"112.75",4
4,5,"1998.0",4
2,123,"531.62",11
1,27,"655.7",10
3,79,"3029.1",9
0,447,"3649.54",11
4,93,"1165.0",5
1,19,"302.3",9
4,2,"901.0",3
1,27,"154.22",11
4,37,"292.35",3
1,43,"589.17",9
0,269,"1055.1",10
2,82,"745.52",10
1,28,"603.5",11
1,53,"650.23",10
2,125,"2303.9",9
1,1,"418.0",10
4,1,"3.75",2
4,13,"323.65",6
1,1,"464.9",10
2,242,"1305.97",11
0,357,"7192.31",9
1,42,"836.05",11
2,69,"1515.9",11
2,95,"623.98",10
2,25,"1766.9",11
1,34,"225.45",10
2,170,"1501.13",8
4,13,"239.4",5
4,7,"106.6",1
1,22,"369.16",10
1,13,"317.0",9
2,89,"1501.0",11
4,23,"610.7",5
4,1,"34.0",2
4,34,"1146.0",3
0,222,"5578.45",11
1,54,"478.09",10
4,40,"380.61",3
0,255,"2251.01",11
1,26,"170.84",10
1,48,"663.17",10
1,76,"388.45",10
1,50,"226.35",9
1,16,"245.0",9
1,60,"424.63",8
1,3,"107.6",11
2,155,"598.33",8
0,320,"1722.42",11
4,12,"110.55",3
1,16,"242.8",10
1,18,"305.3",9
2,164,"1201.62",11
2,76,"1621.6",6
1,24,"333.7",10
1,60,"537.29",11
2,103,"801.87",8
2,67,"1120.8",7
1,23,"288.85",9
2,149,"916.22",11
4,15,"309.8",5
3,188,"3349.8",11
1,26,"497.25",9
4,38,"358.7",4
1,26,"459.7",11
1,28,"774.7",11
1,22,"340.85",10
1,8,"129.1",9
1,11,"197.9",7
1,23,"328.6",11
4,12,"199.2",6
4,24,"411.9",4
1,11,"251.6",10
3,165,"3175.25",11
4,25,"588.75",5
2,116,"1870.1",11
2,63,"1263.8",8
1,11,"214.9",10
1,12,"193.6",10
1,14,"280.8",10
4,8,"124.6",6
4,19,"332.0",1
1,9,"145.55",11
1,19,"328.2",11
1,2,"35.4",11
1,52,"749.3",7
1,6,"173.8",10
1,11,"207.8",7
2,128,"826.76",11
3,137,"2811.55",11
1,7,"681.0",9
2,112,"2091.7",10
2,159,"854.45",11
1,3,"13.3",9
2,178,"1520.81",11
1,1,"432.0",10
1,39,"704.7",10
1,26,"430.35",11
1,37,"194.99",11
2,135,"1582.3",5
1,69,"219.14",10
4,37,"289.78",2
2,79,"886.2",11
2,44,"1707.25",8
1,60,"372.43",11
2,93,"579.93",9
1,18,"379.1",9
3,101,"2574.2",11
4,8,"113.49",2
1,38,"208.51",11
1,57,"622.1",11
4,9,"392.7",3
2,128,"1071.76",10
1,60,"170.62",10
2,83,"846.84",11
1,54,"381.1",11
1,53,"161.49",10
2,62,"950.55",10
1,57,"262.64",11
0,305,"3056.24",10
0,281,"1920.59",11
4,33,"816.75",5
4,21,"407.0",4
1,19,"433.6",7
2,86,"1273.05",7
1,16,"168.59",8
1,1,"20.8",11
1,16,"308.7",11
4,16,"416.2",4
1,7,"117.5",9
2,101,"507.68",11
1,14,"234.0",8
4,7,"111.0",6
4,26,"201.29",4
4,21,"320.0",6
1,42,"648.75",10
1,41,"357.26",11
4,2,"251.5",3
1,39,"344.54",9
4,87,"1080.98",3
1,22,"384.3",10
0,407,"4480.07",9
1,3,"1873.2",11
4,1,"179.0",5
2,93,"1613.45",11
4,12,"702.0",2
1,4,"295.4",7
1,23,"484.6",11
2,49,"1493.25",9
2,44,"1412.94",10
1,11,"194.7",11
1,15,"269.7",11
2,217,"1853.62",11
1,16,"920.1",10
1,7,"70.9",11
1,3,"95.9",10
2,153,"890.75",9
1,2,"716.0",8
1,11,"147.1",10
1,22,"380.4",11
1,30,"745.75",11
4,28,"433.15",4
2,75,"1267.6",9
1,22,"112.4",11
1,15,"450.75",7
2,102,"1734.35",11
1,6,"949.3",11
1,22,"339.45",8
1,22,"641.3",7
2,65,"1100.7",9
1,43,"924.8",8
0,316,"3231.44",9
4,43,"247.36",5
2,92,"414.43",11
1,13,"498.7",8
2,83,"1357.75",11
2,62,"1182.8",9
4,5,"234.4",3
3,99,"5235.3",9
2,78,"1461.7",11
1,62,"860.05",10
1,64,"312.27",8
3,140,"2427.61",11
2,174,"1449.02",11
2,77,"835.32",11
1,28,"377.97",11
1,2,"118.8",9
1,8,"286.8",11
1,64,"290.16",11
2,81,"2002.29",11
2,52,"1404.0",8
3,162,"2952.95",11
2,115,"1991.6",11
2,125,"1783.75",10
4,14,"301.0",1
2,74,"1328.35",11
1,48,"1022.05",11
2,65,"971.0",11
2,42,"1622.35",11
4,1,"25.5",3
2,90,"666.45",7
2,117,"884.35",11
4,12,"163.35",6
1,30,"250.0",10
4,9,"116.05",2
4,10,"157.9",1
4,18,"307.6",4
1,7,"138.3",8
1,9,"345.3",7
4,32,"298.77",6
1,40,"259.93",10
4,14,"156.65",1
3,27,"4892.85",11
1,24,"425.3",8
4,24,"381.2",3
4,20,"465.1",4
4,15,"579.0",4
2,81,"1714.1",11
1,9,"124.9",10
4,14,"1689.0",5
1,14,"213.9",11
1,23,"330.0",9
1,20,"251.2",11
2,101,"1538.45",11
0,229,"3516.3",11
2,104,"1719.95",11
1,5,"293.1",11
3,144,"2464.9",11
4,10,"158.6",2
1,12,"206.4",11
1,54,"835.4",10
4,16,"224.2",2
1,15,"318.6",9
4,4,"60.0",5
2,63,"1442.45",10
4,15,"306.4",5
2,128,"796.28",10
1,2,"144.0",10
4,10,"204.25",4
1,19,"445.39",10
2,32,"1696.9",11
1,29,"1012.8",11
1,40,"343.55",10
3,152,"3563.56",11
4,57,"1564.05",6
1,13,"385.0",10
1,7,"204.4",10
4,4,"227.0",3
4,9,"113.55",4
1,25,"114.21",11
1,28,"354.64",10
4,21,"394.0",2
1,47,"318.91",9
1,25,"191.02",11
4,14,"150.05",6
1,19,"315.13",11
4,15,"382.4",1
1,40,"1134.6",8
1,31,"953.11",10
4,9,"171.3",5
1,55,"282.27",11
1,69,"319.24",8
1,87,"353.81",8
1,18,"178.45",11
1,78,"298.29",10
1,16,"240.55",8
4,23,"63.44",5
2,127,"563.28",7
1,38,"317.67",8
1,6,"764.0",8
2,114,"2147.8",10
1,27,"112.43",11
4,69,"1065.88",4
4,15,"245.95",4
1,9,"187.85",10
2,94,"1701.83",8
0,292,"1652.86",10
1,45,"153.84",11
2,111,"944.86",11
4,1,"551.0",2
1,69,"558.03",11
1,51,"131.83",11
1,30,"498.95",8
1,57,"670.93",11
1,66,"197.65",11
2,79,"1134.24",11
1,12,"83.05",9
2,55,"1385.25",9
1,14,"643.9",7
2,24,"2332.4",11
3,131,"2523.5",11
2,9,"2601.5",10
2,200,"921.78",11
4,6,"96.8",3
1,33,"523.2",11
1,6,"363.9",11
1,1,"175.2",8
1,28,"493.2",9
4,11,"306.6",2
1,32,"160.59",10
2,87,"538.28",11
1,1,"229.0",9
2,215,"1163.03",11
4,9,"111.75",6
1,27,"587.45",11
1,8,"1744.0",8
1,16,"1394.4",10
4,19,"178.4",2
1,45,"388.09",11
1,15,"127.66",11
2,132,"587.62",11
1,29,"488.47",10
4,35,"312.35",4
0,468,"4807.03",11
4,34,"167.9",4
2,111,"1908.69",11
1,33,"445.7",9
1,57,"646.2",10
4,28,"495.8",5
1,24,"203.2",9
2,83,"407.24",11
1,2,"65.0",10
1,15,"336.3",11
1,47,"261.16",11
2,78,"784.77",11
1,15,"1260.1",9
4,3,"510.0",6
4,4,"204.35",5
2,92,"697.34",11
1,38,"652.5",8
1,33,"281.99",11
4,2,"32.65",6
4,13,"771.9",6
2,64,"1215.45",11
1,41,"777.9",11
1,6,"777.6",10
1,14,"507.8",9
0,269,"6902.0",11
1,30,"463.9",10
2,117,"1980.2",11
1,26,"696.5",10
1,43,"757.2",11
1,2,"100.8",9
1,39,"524.9",8
4,43,"403.62",1
1,48,"365.49",11
1,54,"303.25",9
4,17,"388.6",3
1,5,"187.0",7
2,135,"2252.9",11
4,9,"119.3",6
1,36,"540.0",10
1,19,"487.05",11
4,8,"131.7",5
1,19,"1737.7",8
1,54,"316.83",11
2,111,"656.55",10
2,111,"759.71",11
1,27,"675.95",10
2,215,"1903.67",11
1,9,"290.3",7
1,41,"763.3",11
1,5,"137.0",11
2,88,"1870.7",11
2,181,"709.79",6
1,14,"195.9",9
1,29,"510.9",9
1,21,"413.9",10
4,24,"396.3",3
1,29,"375.2",10
4,12,"374.05",4
1,17,"271.6",9
4,40,"627.0",2
1,5,"1138.0",11
4,18,"288.05",5
1,28,"689.1",11
3,127,"2999.15",5
1,52,"1143.7",7
1,14,"303.7",9
4,88,"607.73",3
0,366,"6123.5",10
1,20,"308.0",11
3,105,"2919.5",11
1,6,"513.0",9
1,40,"209.41",8
2,87,"639.08",11
2,137,"768.36",11
4,11,"154.1",2
1,30,"546.8",10
1,45,"721.6",11
1,33,"652.0",11
1,47,"942.95",10
4,14,"297.7",6
1,9,"223.7",10
4,13,"163.0",3
4,3,"76.5",6
2,75,"898.73",11
1,9,"98.1",11
1,25,"579.5",11
4,25,"171.4",3
2,145,"646.36",10
4,5,"103.3",4
1,6,"149.2",11
4,42,"267.45",5
1,2,"1488.0",8
2,106,"483.07",11
4,6,"158.45",5
1,34,"542.0",11
1,26,"854.6",9
1,46,"167.56",11
2,63,"1122.3",11
1,49,"454.22",11
4,29,"344.36",1
0,299,"1499.56",10
1,25,"380.4",11
4,8,"185.3",4
4,5,"143.3",5
4,29,"175.43",4
2,214,"1133.84",8
1,23,"1239.8",8
0,253,"2409.45",10
1,50,"993.0",9
1,83,"388.69",11
4,55,"2045.15",5
1,13,"162.45",11
4,9,"116.4",4
1,11,"394.8",9
4,63,"308.96",5
1,59,"194.14",11
2,237,"1113.03",10
2,135,"2053.2",10
0,312,"4559.07",11
2,100,"390.34",10
1,14,"329.85",8
4,77,"218.6",1
1,4,"80.6",10
1,33,"526.6",11
1,50,"843.95",11
0,315,"2050.91",11
1,5,"75.2",9
4,26,"503.8",6
2,70,"1322.5",11
0,297,"2362.91",11
1,20,"286.8",11
1,35,"547.35",11
4,7,"108.5",3
1,5,"621.3",9
1,40,"714.9",8
1,7,"133.15",10
2,91,"1798.1",10
1,52,"868.8",7
1,8,"165.3",11
0,232,"3948.45",11
0,259,"4865.1",11
1,44,"1207.6",11
4,22,"117.55",3
2,82,"1675.4",9
1,19,"594.9",11
1,45,"196.3",7
2,86,"1802.45",11
1,43,"606.0",11
2,116,"2055.3",10
3,68,"3406.4",10
4,11,"205.1",4
3,110,"3177.95",10
4,16,"299.6",3
2,30,"1991.55",10
1,11,"184.0",11
1,15,"239.3",10
1,16,"202.0",7
1,15,"282.8",7
1,35,"765.4",7
4,19,"339.3",4
4,8,"155.0",3
3,142,"2531.35",11
4,24,"418.0",4
2,74,"1825.0",11
1,55,"795.5",11
4,31,"885.7",6
4,5,"152.4",6
4,35,"267.15",6
4,7,"137.5",6
1,23,"384.5",11
1,29,"522.9",10
4,10,"153.0",1
4,1,"326.0",5
0,245,"5655.7",11
4,6,"139.4",4
0,274,"5396.7",11
3,10,"3277.9",8
1,40,"1032.8",9
3,192,"3438.1",11
2,66,"1063.1",11
2,67,"1240.45",9
1,35,"691.7",11
1,43,"699.7",10
1,25,"377.7",11
1,10,"168.5",11
2,97,"1879.3",11
1,15,"355.05",8
4,6,"110.65",4
